Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 12% Citric, 2.5% AOS, 7% APG, 1.1% CapB (AOS 205)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,35,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,35,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,32.5,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,27.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,28.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% AOS, 10% APG, 1.1% CapB (208)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,35,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,26.75,"large bubbles, surfactant like foam ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,15,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,16,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2.8% AOS, 8% APG, 1.1% CapB (209)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,40,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,28.75,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,22.5,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% AOS, 8% APG, 1.1% CapB (210)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,37.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,31.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,28.5,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,22.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% AOS, 6% APG, 1% CapB (212)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,25,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,17.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% AOS, 6% APG, 0.9% CapB (213)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,37.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,27.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2% AOS, 6% APG, 0.9% CapB (211)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,37.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,30,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,12.5,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2% AOS, 8% APG, 1% CapB (197)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,38.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,37.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,35,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,33.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,17.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% AOS, 6% APG, 0.7% CapB (214)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Feb,,35,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2% AOS, 6% APG, 0.8% CapB (215)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,11-Feb,,41.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,12-Feb,,40,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 2%AOS, 6% APG, 0.8% CapB (AOS 215)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00X Dilution,,,35C-40C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Feb,,36.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Feb,,33,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Feb,,32,small-medium  bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-2% AOS-6% APG-0.8% CapB (AFC 25022428),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Mar,,43,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,04-Mar,,41,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,05-Mar,,37.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-2% AOS-6% APG-0.7% CapB (No name 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,03-Mar,,36,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,04-Mar,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,05-Mar,,30,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-2% AOS-6% APG-0.8% CapB (AFC 25030519),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Mar,,45,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Mar,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,12-Mar,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,13-Mar,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,14-Mar,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,25 x,30x,,25x,30x,25x,30x,,25 x,30 x,,25x,30x,25 x,30 x,,,,,
Day 0 ,10-Mar,,45,Small compact foam ,,,,,,,,,Day 0 ,,,Day 1,,Day 2,,,Day 3,,,Day 4,,Day 7,,,,,,
Day 1,11-Mar,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,12-Mar,,42.5,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,
Day 3,13-Mar,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,14-Mar,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9% HS-12% Citric-0.6% AOS-7% APG-0.18% CapB (sac 72),,Unstable RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,3:1 ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-Mar,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,14-Mar,,35,like surfactant foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-0.6% AOS-8% APG-0.2% CapB (sac 76),,Unstable RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,3:1 ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-Mar,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,14-Mar,,42.5,like surfactant foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-0.6% AOS-9% APG-0.2% CapB (sac 77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,2:1 ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-Mar,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,14-Mar,,35,like surfactant foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-0.6% AOS-9% APG-0.2% CapB (sac 77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,3:1 ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-Mar,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,14-Mar,,40,like surfactant foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% HS-12% Citric-2% AOS-6% APG-0.8% CapB (pilot 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-Mar,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,14-Mar,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,17-Mar,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6% APG, 0.6% CapB (AOS 244)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,38.75,"Small bubbles, airy foam (light passes through)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,32.5,surfactant like foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6% APG, 0.8% CapB (AOS 245)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,40,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,32.5,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,20-Mar,,30,"small bubbles, slightly airy",*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,21-Mar,,28.75,small-medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,24-Mar,,17.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6% APG, 0.5% CapB, 0.4% LBHP (AOS 247)",,,,Unstable RT,,concentrate is unstable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,47.5,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,37.5,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.8% CapB (AOS 249)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,41.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,36.75,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6% APG, 0.5% CapB, 0.2% LBHP (AOS 246)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,43.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,37.5,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.6% CapB (AOS 248)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,41.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,33.75,surfactant like foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.2% LBHP (AOS 250)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,45,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,37.5,surfactant like foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.4% LBHP (AOS 251)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,47.5,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,37.5,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,20-Mar,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,21-Mar,,32.5,large bubbles (similar to pilot) - discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 6% APG, 0.6% CapB (AOS 252)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,40,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,31.75,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 6% APG, 0.8% CapB (AOS 253)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,50,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,20,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 10% APG, 0.6% CapB (AOS 255)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,50,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,40,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 6% APG, 0.5% CapB, 0.2% LBHP (AOS 254)",,,Unstable RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,,cloudy dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 10% APG, 0.5% CapB, 0.2% LBHP (AOS 256)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,45,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,37.5,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,20-Mar,,35,"small bubbles, slightly airy",*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,21-Mar,,32.5,medium bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,24-Mar,,30,large bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% HS, % Citric, % AOS, % APG, % CapB (Pilot 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,18-Mar,,45,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,19-Mar,,38.75,"small bubbles, slightly airy",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,20-Mar,,35,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,21-Mar,,32.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,24-Mar,,7.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,* top foam structure (for the day starred) ,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.6% CapB (AOS 257)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,31.75,"Small compact foam, small light passing through, surfactant like foam after 3h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,26.75,surfactant like foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.2% LBHP (AOS 259)",,,,Unstable Concentrate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,,Unstable Dilution & Concentrate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.8% CapB (AOS 258)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,35,"Small compact foam, surfactant like foam after 3h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,30,surfactant like foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% LBHP (AOS 260)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,36.75,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,32.5,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,21-Mar,,30,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,24-Mar,,25,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 6% APG, 0.8% CapB (AOS 261)",,,,Unstable RT,,concentrate is unstable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
